intron_group	seqnames	start	end	width	strand	gene_name	gene_id	SpliceLeft	SpliceRight	SpliceMax	intronicCount	SIRratio
121653	10	1000869	1000947	79	+	GTPBP4	ENSG00000107937	370	371	371	4	0.0141396828353939
121654	10	1001014	1005817	4804	+	GTPBP4	ENSG00000107937	179	176	179	25	0.002780673672945
121655	10	1005908	1007017	1110	+	GTPBP4	ENSG00000107937	305	308	308	6	0.00271061300357349
121656	10	1007129	1008957	1829	+	GTPBP4	ENSG00000107937	208	207	208	64	0.0178506767457947
121657	10	1009036	1009528	493	+	GTPBP4	ENSG00000107937	277	277	277	11	0.00990270778302917
121658	10	1009581	1010419	839	+	GTPBP4	ENSG00000107937	243	243	243	40	0.023862643232958
121659	10	1010521	1012464	1944	+	GTPBP4	ENSG00000107937	202	202	202	73	0.0203598226182457
121660	10	1012663	1014246	1584	+	GTPBP4	ENSG00000107937	377	377	377	26	0.0083928354033056
121661	10	1014313	1015752	1440	+	GTPBP4	ENSG00000107937	428	428	428	28	0.00983619666946115
121662	10	1015897	1017074	1178	+	GTPBP4	ENSG00000107937	434	434	434	10	0.00443582060443642
121663	10	1022784	1035289	12506	+	IDI2-AS1	ENSG00000232656	0	0	0	3	0.00638955214346372
121664	10	1035507	1035813	307	+	IDI2-AS1	ENSG00000232656	0	0	0	0	0
121665	10	1036570	1036788	219	+	IDI2-AS1	ENSG00000232656	0	0	0	0	0
121666	10	1036894	1043528	6635	+	IDI2-AS1	ENSG00000232656	1	1	1	4454	0.945782587488598
121667	10	1056969	1072115	15147	+	WDR37	ENSG00000047056	43	69	69	98	0.0254713911063358
121668	10	1074509	1077906	3398	+	WDR37	ENSG00000047056	0	0	0	27	0.0380202124566389
121669	10	1078004	1080010	2007	+	WDR37	ENSG00000047056	35	33	35	29	0.0579287760898807
121670	10	1080107	1080411	305	+	WDR37	ENSG00000047056	33	33	33	7	0.065327744962178
121671	10	1080477	1084402	3926	+	WDR37	ENSG00000047056	52	53	53	13	0.0135896539369966
121672	10	1084539	1086285	1747	+	WDR37	ENSG00000047056	63	63	63	2	0.00471096972932854
121673	10	1086358	1093451	7094	+	WDR37	ENSG00000047056	35	29	35	64	0.0381274059358462
121674	10	1093497	1096169	2673	+	WDR37	ENSG00000047056	57	59	59	65	0.0843491520005923
121675	10	1102578	1102855	278	+	WDR37	ENSG00000047056	0	0	0	6	0.0961404661379885
121676	10	1102979	1103598	620	+	WDR37	ENSG00000047056	0	0	0	18	0.119290978562562
121677	10	1103837	1105125	1289	+	WDR37	ENSG00000047056	93	92	93	8	0.0222312204631267
121678	10	1124103	1124217	115	+	WDR37	ENSG00000047056	0	0	0	4	0.124206853260648
121679	10	1124353	1124909	557	+	WDR37	ENSG00000047056	48	48	48	10	0.0653933367479513
121680	10	1125025	1129212	4188	+	WDR37	ENSG00000047056	34	35	35	43	0.0436443603878373
121681	10	1159991	1160552	562	+	LINC00200	ENSG00000229205	0	0	0	0	0
121682	10	1160638	1162546	1909	+	LINC00200	ENSG00000229205	0	0	0	0	0
121683	10	1163072	1163214	143	+	LINC00200	ENSG00000229205	0	0	0	0	0
121684	10	1526900	1534589	7690	+	ADARB2-AS1	ENSG00000205696	0	0	0	31	1
121685	10	1534996	1535591	596	+	ADARB2-AS1	ENSG00000205696	0	0	0	2	1
121686	10	1957821	1959438	1618	+	AL355597.1	ENSG00000287653	0	0	0	0	0
121687	10	2071976	2080796	8821	+	AL441943.1	ENSG00000226694	0	0	0	0	0
121688	10	2150551	2150964	414	+	AL441943.2	ENSG00000227912	0	0	0	0	0
121689	10	2151003	2164919	13917	+	AL441943.2	ENSG00000227912	0	0	0	0	0
121690	10	2166406	2167213	808	+	AL441943.2	ENSG00000227912	0	0	0	0	0
121691	10	2499809	2500326	518	+	AL713851.2	ENSG00000237500	0	0	0	0	0
121692	10	2501990	2537492	35503	+	AL713851.1	ENSG00000235281	0	0	0	1	1
121693	10	2559408	2559890	483	+	AL713851.1	ENSG00000235281	0	0	0	0	0
121694	10	2560008	2566528	6521	+	AL713851.1	ENSG00000235281	0	0	0	0	0
121695	10	2566621	2570195	3575	+	AL713851.1	ENSG00000235281	0	0	0	1	1
121696	10	2615647	2617681	2035	+	AL713851.1	ENSG00000235281	0	0	0	0	0
121697	10	3010730	3011589	860	+	AL731533.1	ENSG00000234182	0	0	0	0	0
121698	10	3011706	3012818	1113	+	AL731533.1	ENSG00000234182	0	0	0	0	0
121699	10	3068743	3069273	531	+	PFKP	ENSG00000067057	0	0	0	33	0.0146717408691512
121700	10	3070316	3082387	12072	+	PFKP	ENSG00000067057	2	556	556	146	0.0031213771798809
121701	10	3082462	3099274	16813	+	PFKP	ENSG00000067057	1153	1154	1154	56	0.000844528731991912
121702	10	3099353	3100920	1568	+	PFKP	ENSG00000067057	0	0	0	35	0.00563790351592231
121703	10	3101001	3101364	364	+	PFKP	ENSG00000067057	0	0	0	7	0.0041240341172759
121704	10	3101555	3103778	2224	+	PFKP	ENSG00000067057	1007	1001	1007	71	0.00796586690810097
121705	10	3104789	3105114	326	+	PFKP	ENSG00000067057	0	0	0	77	0.0461694278290904
121706	10	3105302	3105392	91	+	PFKP	ENSG00000067057	5	549	549	46	0.0742389266900219
121707	10	3105502	3107213	1712	+	PFKP	ENSG00000067057	1002	1002	1002	3	0.000428450908180363
121708	10	3107310	3108700	1391	+	PFKP	ENSG00000067057	962	961	962	14	0.00239175186829073
121709	10	3108794	3109354	561	+	PFKP	ENSG00000067057	1156	1156	1156	8	0.00338676967133212
121710	10	3109481	3112221	2741	+	PFKP	ENSG00000067057	992	991	992	28	0.00251392559760881
121711	10	3112287	3113118	832	+	PFKP	ENSG00000067057	1144	1144	1144	3	0.000852495584198218
121712	10	3113189	3113371	183	+	PFKP	ENSG00000067057	902	902	902	2	0.00171510869828784
121713	10	3113519	3116775	3257	+	PFKP	ENSG00000067057	910	910	910	50	0.00387717274038712
121714	10	3116847	3118781	1935	+	PFKP	ENSG00000067057	1069	1069	1069	44	0.00571120699260628
121715	10	3118870	3119891	1022	+	PFKP	ENSG00000067057	1566	1560	1566	14	0.00333429273734177
121716	10	3120045	3125096	5052	+	PFKP	ENSG00000067057	1182	1	1182	1128	0.0486393290856679
121717	10	3125250	3129818	4569	+	PFKP	ENSG00000067057	7	1196	1196	982	0.0466295167827757
121718	10	3129984	3132379	2396	+	PFKP	ENSG00000067057	1286	1287	1287	95	0.0097843400035645
121719	10	3132442	3133202	761	+	PFKP	ENSG00000067057	1014	1014	1014	14	0.00396544678548762
121720	10	3133315	3134482	1168	+	PFKP	ENSG00000067057	820	816	820	87	0.0181616018882702
121721	10	3164286	3167831	3546	+	PITRM1-AS1	ENSG00000237399	0	0	0	767	1
121722	10	3223851	3225587	1737	+	AL451164.1	ENSG00000236968	0	0	0	0	0
121723	10	3225729	3226986	1258	+	AL451164.1	ENSG00000236968	0	0	0	0	0
121724	10	3263970	3265981	2012	+	AL139280.1	ENSG00000227338	0	0	0	0	0
121725	10	3266108	3266657	550	+	AL139280.1	ENSG00000227338	0	0	0	0	0
121726	10	3297035	3297470	436	+	AL139280.2	ENSG00000287428	0	0	0	0	0
121727	10	3397561	3398081	521	+	AL356433.1	ENSG00000286610	0	0	0	0	0
121728	10	3398314	3399104	791	+	AL356433.1	ENSG00000286610	0	0	0	0	0
121729	10	3751120	3752504	1385	+	AL450322.2	ENSG00000229672	0	0	0	1	1
121730	10	3752623	3759184	6562	+	AL450322.2	ENSG00000229672	0	0	0	6	1
121731	10	3759295	3759772	478	+	AL450322.2	ENSG00000229672	0	0	0	0	0
121732	10	3759887	3760335	449	+	AL450322.2	ENSG00000229672	0	0	0	0	0
121733	10	3760491	3763017	2527	+	AL450322.2	ENSG00000229672	0	0	0	0	0
121734	10	3768048	3768571	524	+	AL450322.1	ENSG00000228353	0	0	0	0	0
121735	10	3810294	3814572	4279	+	AL513303.1	ENSG00000287175	0	0	0	2	1
121736	10	3814635	3815262	628	+	AL513303.1	ENSG00000287175	0	0	0	0	0
121737	10	3815375	3815712	338	+	AL513303.1	ENSG00000287175	0	0	0	0	0
121738	10	3834238	3834480	243	+	LINC02639	ENSG00000230573	0	0	0	0	0
121739	10	3912177	3932655	20479	+	LINC02660	ENSG00000226005	0	0	0	0	0
121740	10	3932973	3934519	1547	+	LINC02660	ENSG00000226005	0	0	0	0	0
121741	10	3934975	3935678	704	+	LINC02660	ENSG00000226005	0	0	0	1	1
121742	10	4025458	4026908	1451	+	AC025822.1	ENSG00000227101	0	0	0	0	0
121743	10	4031704	4033005	1302	+	AC025822.1	ENSG00000227101	0	0	0	0	0
121744	10	4085294	4085605	312	+	AC025822.2	ENSG00000236990	0	0	0	0	0
121745	10	4085709	4087358	1650	+	AC025822.2	ENSG00000236990	0	0	0	0	0
121746	10	4406574	4408454	1881	+	LINC00703	ENSG00000224382	0	0	0	0	0
121747	10	4437266	4447100	9835	+	AC022535.3	ENSG00000287246	0	0	0	1	1
121748	10	4497476	4507741	10266	+	AC022535.2	ENSG00000286687	0	0	0	0	0
121749	10	4507897	4513532	5636	+	AC022535.2	ENSG00000286687	0	0	0	0	0
121750	10	4513654	4514689	1036	+	AC022535.2	ENSG00000286687	0	0	0	0	0
121751	10	4656321	4659230	2910	+	LINC00705	ENSG00000225269	0	0	0	0	0
121752	10	4659349	4659981	633	+	LINC00705	ENSG00000225269	0	0	0	0	0
121753	10	4660112	4661698	1587	+	LINC00705	ENSG00000225269	0	0	0	0	0
121754	10	4671660	4676664	5005	+	LINC00705	ENSG00000225269	0	0	0	0	0
121755	10	4676820	4679402	2583	+	LINC00705	ENSG00000225269	0	0	0	1	1
121756	10	4679576	4682104	2529	+	LINC00705	ENSG00000225269	0	0	0	0	0
121757	10	4786761	4824961	38201	+	AKR1E2	ENSG00000165568	0	0	0	0	0
121758	10	4826364	4830674	4311	+	AKR1E2	ENSG00000165568	0	0	0	0	0
121759	10	4830843	4833349	2507	+	AKR1E2	ENSG00000165568	0	0	0	0	0
121760	10	4833477	4835674	2198	+	AKR1E2	ENSG00000165568	0	0	0	0	0
121761	10	4835810	4837442	1633	+	AKR1E2	ENSG00000165568	0	0	0	0	0
121762	10	4837582	4839728	2147	+	AKR1E2	ENSG00000165568	0	0	0	0	0
121763	10	4839827	4841784	1958	+	AKR1E2	ENSG00000165568	0	0	0	0	0
121764	10	4841858	4842420	563	+	AKR1E2	ENSG00000165568	0	0	0	0	0
121765	10	4842505	4845777	3273	+	AKR1E2	ENSG00000165568	0	0	0	0	0
121766	10	4847300	4847487	188	+	AKR1E2	ENSG00000165568	0	0	0	0	0
121767	10	4963894	4965913	2020	+	AKR1C1	ENSG00000187134	0	0	0	0	0
121768	10	4966082	4966926	845	+	AKR1C1	ENSG00000187134	2	2	2	0	0
121769	10	4967044	4968308	1265	+	AKR1C1	ENSG00000187134	2	2	2	0	0
121770	10	4968387	4968821	435	+	AKR1C1	ENSG00000187134	0	0	0	0	0
121771	10	4968945	4969674	730	+	AKR1C1	ENSG00000187134	0	0	0	1	0.175587869299204
121772	10	4972311	4972583	273	+	AKR1C1	ENSG00000187134	2	2	2	0	0
121773	10	4972750	4975850	3101	+	AKR1C1	ENSG00000187134	0	0	0	0	0
121774	10	4975934	4977699	1766	+	AKR1C1	ENSG00000187134	0	0	0	0	0
121775	10	4995933	4996036	104	+	AL391427.1	ENSG00000224251	0	0	0	0	0
121776	10	4996147	4997239	1093	+	AL391427.1	ENSG00000224251	0	0	0	0	0
121777	10	5077978	5080745	2768	+	AKR1C3	ENSG00000196139	0	0	0	0	0
121778	10	5080902	5081681	780	+	AKR1C3	ENSG00000196139	0	0	0	0	0
121779	10	5094529	5096409	1881	+	AKR1C3	ENSG00000196139	0	0	0	0	0
121780	10	5096578	5097433	856	+	AKR1C3	ENSG00000196139	0	0	0	0	0
121781	10	5097551	5098801	1251	+	AKR1C3	ENSG00000196139	0	0	0	0	0
121782	10	5098880	5099326	447	+	AKR1C3	ENSG00000196139	0	0	0	0	0
121783	10	5099450	5102100	2651	+	AKR1C3	ENSG00000196139	0	0	0	0	0
121784	10	5102211	5102484	274	+	AKR1C3	ENSG00000196139	0	0	0	0	0
121785	10	5102651	5105594	2944	+	AKR1C3	ENSG00000196139	1	1	1	0	0
121786	10	5105678	5107460	1783	+	AKR1C3	ENSG00000196139	0	0	0	0	0
121787	10	5195576	5196228	653	+	AKR1C4	ENSG00000198610	0	0	0	0	0
121788	10	5196321	5196819	499	+	AKR1C4	ENSG00000198610	0	0	0	0	0
121789	10	5196952	5200180	3229	+	AKR1C4	ENSG00000198610	0	0	0	0	0
121790	10	5200349	5204376	4028	+	AKR1C4	ENSG00000198610	0	0	0	0	0
121791	10	5204494	5205756	1263	+	AKR1C4	ENSG00000198610	0	0	0	0	0
121792	10	5205835	5206274	440	+	AKR1C4	ENSG00000198610	0	0	0	0	0
121793	10	5212726	5212993	268	+	AKR1C4	ENSG00000198610	0	0	0	0	0
121794	10	5213160	5216710	3551	+	AKR1C4	ENSG00000198610	0	0	0	0	0
121795	10	5216794	5218717	1924	+	AKR1C4	ENSG00000198610	0	0	0	1	1
121796	10	5234594	5262964	28371	+	AL355303.1	ENSG00000231039	0	0	0	0	0
121797	10	5365231	5373714	8484	+	UCN3	ENSG00000178473	0	0	0	0	0
121798	10	5412821	5426654	13834	+	NET1	ENSG00000173848	60	60	60	4	0.000629491052788602
121799	10	5426722	5429169	2448	+	NET1	ENSG00000173848	43	41	43	5	0.00435408457684851
121800	10	5446859	5451829	4971	+	NET1	ENSG00000173848	33	95	95	21	0.00869015811093302
121801	10	5451938	5452357	420	+	NET1	ENSG00000173848	92	93	93	3	0.0140010936329754
121802	10	5452526	5452824	299	+	NET1	ENSG00000173848	0	0	0	1	0.00766933819144476
121803	10	5452921	5453249	329	+	NET1	ENSG00000173848	105	107	107	4	0.0182669659655108
121804	10	5453347	5453483	137	+	NET1	ENSG00000173848	97	97	97	0	0
121805	10	5453561	5454264	704	+	NET1	ENSG00000173848	67	67	67	1	0.00290561087727823
121806	10	5454523	5454947	425	+	NET1	ENSG00000173848	59	59	59	1	0.00486542208497966
121807	10	5455119	5456086	968	+	NET1	ENSG00000173848	69	69	69	2	0.00413917310263177
121808	10	5456274	5456587	314	+	NET1	ENSG00000173848	94	93	94	5	0.0229894986540639
121809	10	5699738	5709529	9792	+	TASOR2	ENSG00000108021	2	19	19	51	0.0207143150918365
121810	10	5709664	5712393	2730	+	TASOR2	ENSG00000108021	14	9	14	16	0.0227996072438801
121811	10	5712540	5712822	283	+	TASOR2	ENSG00000108021	4	17	17	4	0.0529016859036897
121812	10	5712919	5714134	1216	+	TASOR2	ENSG00000108021	19	16	19	14	0.0414658894500412
121813	10	5714208	5717658	3451	+	TASOR2	ENSG00000108021	19	10	19	71	0.0786941524581313
121814	10	5717751	5720543	2793	+	TASOR2	ENSG00000108021	9	24	24	55	0.0750951246910259
121815	10	5720669	5720754	86	+	TASOR2	ENSG00000108021	30	31	31	0	0
121816	10	5720775	5720870	96	+	TASOR2	ENSG00000108021	29	29	29	0	0
121817	10	5720971	5723676	2706	+	TASOR2	ENSG00000108021	40	40	40	14	0.0189341660037592
121818	10	5723778	5724429	652	+	TASOR2	ENSG00000108021	36	36	36	3	0.0155862329208513
121819	10	5724534	5726884	2351	+	TASOR2	ENSG00000108021	31	31	31	41	0.0648645551624799
121820	10	5726958	5727060	103	+	TASOR2	ENSG00000108021	31	31	31	0	0
121821	10	5727124	5730486	3363	+	TASOR2	ENSG00000108021	39	39	39	9	0.0101691930334324
121822	10	5731204	5735303	4100	+	TASOR2	ENSG00000108021	37	30	37	15	0.0139159134948158
121823	10	5735547	5739617	4071	+	TASOR2	ENSG00000108021	34	42	42	15	0.0137958701373463
121824	10	5740498	5742096	1599	+	TASOR2	ENSG00000108021	38	37	38	25	0.0563975195022263
121825	10	5742527	5746178	3652	+	TASOR2	ENSG00000108021	65	65	65	4	0.00404886302328805
121826	10	5750028	5756612	6585	+	TASOR2	ENSG00000108021	90	94	94	31	0.0164047526876724
121827	10	5756739	5757519	781	+	TASOR2	ENSG00000108021	74	74	74	2	0.00825757891726101
121828	10	5757674	5758886	1213	+	TASOR2	ENSG00000108021	81	81	81	18	0.0439598989214222
121829	10	5758993	5761289	2297	+	TASOR2	ENSG00000108021	91	90	91	40	0.0514593852200733
121830	10	5761472	5762531	1060	+	TASOR2	ENSG00000108021	97	97	97	26	0.0629539581041845
121831	10	5762647	5763028	382	+	TASOR2	ENSG00000108021	76	76	76	3	0.023809854319653
121832	10	5814046	5814226	181	+	AL596094.1	ENSG00000272764	0	0	0	26	1
121833	10	5890347	5891018	672	+	FBH1	ENSG00000134452	190	4	190	13	0.019232116095299
121834	10	5894512	5895055	544	+	FBH1	ENSG00000134452	9	13	13	15	0.02995324730447
121835	10	5895188	5903019	7832	+	FBH1	ENSG00000134452	16	185	185	125	0.0174969947342674
121836	10	5903176	5905217	2042	+	FBH1	ENSG00000134452	168	1	168	16	0.00866483305398418
121837	10	5905288	5906036	749	+	FBH1	ENSG00000134452	3	182	182	15	0.0221556252678799
121838	10	5906633	5908924	2292	+	FBH1	ENSG00000134452	228	231	231	2	0.000947786278818629
121839	10	5909056	5909158	103	+	FBH1	ENSG00000134452	263	263	263	0	0
121840	10	5909295	5910937	1643	+	FBH1	ENSG00000134452	187	187	187	17	0.0115906722428566
121841	10	5911129	5913746	2618	+	FBH1	ENSG00000134452	174	150	174	41	0.0170006377940906
121842	10	5913840	5914177	338	+	FBH1	ENSG00000134452	205	208	208	0	0
121843	10	5914270	5915402	1133	+	FBH1	ENSG00000134452	170	170	170	10	0.00946197201568745
121844	10	5915572	5916233	662	+	FBH1	ENSG00000134452	186	184	186	69	0.0899719859123917
121845	10	5916457	5917419	963	+	FBH1	ENSG00000134452	274	276	276	18	0.0183576760955804
121846	10	5917508	5917589	82	+	FBH1	ENSG00000134452	200	200	200	1	0.0075528332470623
121847	10	5917677	5918341	665	+	FBH1	ENSG00000134452	187	187	187	5	0.00755904474511839
121848	10	5918479	5921257	2779	+	FBH1	ENSG00000134452	148	145	148	11	0.00443942611165583
121849	10	5921358	5921447	90	+	FBH1	ENSG00000134452	191	194	194	0	0
121850	10	5921570	5923620	2051	+	FBH1	ENSG00000134452	191	185	191	28	0.0148837216899576
121851	10	5923697	5924310	614	+	FBH1	ENSG00000134452	199	205	205	20	0.0288407143696171
121852	10	5924509	5924750	242	+	FBH1	ENSG00000134452	141	23	141	12	0.0440518455979135
121853	10	5924802	5925366	565	+	FBH1	ENSG00000134452	34	152	152	18	0.0332179158439094
121854	10	5925493	5927434	1942	+	FBH1	ENSG00000134452	192	191	192	24	0.0137637435315932
121855	10	5927542	5928335	794	+	FBH1	ENSG00000134452	196	2	196	9	0.0112310674372895
121856	10	5936731	5937109	379	+	FBH1	ENSG00000134452	0	0	0	15	0.0402623429417366
121857	10	6026069	6035939	9871	+	AL137186.1	ENSG00000229664	0	0	0	5	1
121858	10	6036086	6036184	99	+	AL137186.1	ENSG00000229664	0	0	0	0	0
121859	10	6089972	6097047	7076	+	RBM17	ENSG00000134453	0	0	0	114	0.00701085762294976
121860	10	6097189	6101270	4082	+	RBM17	ENSG00000134453	299	299	299	15	0.00151891890655619
121861	10	6101388	6104930	3543	+	RBM17	ENSG00000134453	212	211	212	53	0.00631759982619782
121862	10	6105098	6106140	1043	+	RBM17	ENSG00000134453	359	360	360	13	0.00520844480814384
121863	10	6106239	6108685	2447	+	RBM17	ENSG00000134453	403	403	403	189	0.0300386766139356
121864	10	6108743	6109985	1243	+	RBM17	ENSG00000134453	551	551	551	3	0.000919159606678013
121865	10	6110128	6112209	2082	+	RBM17	ENSG00000134453	415	415	415	15	0.00299139618793288
121866	10	6113069	6113507	439	+	RBM17	ENSG00000134453	29	302	302	93	0.0821783655909178
121867	10	6113582	6114048	467	+	RBM17	ENSG00000134453	548	549	549	15	0.0101679297846066
121868	10	6114148	6115238	1091	+	RBM17	ENSG00000134453	571	571	571	32	0.0107846758287848
121869	10	6115312	6115452	141	+	RBM17	ENSG00000134453	629	628	629	20	0.0500671278015863
121870	10	6203337	6213622	10286	+	PFKFB3	ENSG00000170525	44	74	74	16	0.00259670516337095
121871	10	6213749	6215220	1472	+	PFKFB3	ENSG00000170525	96	96	96	3	0.00332395478833765
121872	10	6215318	6216124	807	+	PFKFB3	ENSG00000170525	103	103	103	1	0.00184425849337204
121873	10	6216192	6216705	514	+	PFKFB3	ENSG00000170525	129	129	129	0	0
121874	10	6216781	6217134	354	+	PFKFB3	ENSG00000170525	128	128	128	0	0
121875	10	6217192	6219568	2377	+	PFKFB3	ENSG00000170525	105	100	105	65	0.0425404172800206
121876	10	6219694	6220657	964	+	PFKFB3	ENSG00000170525	106	107	107	5	0.00782796235745208
121877	10	6220866	6221380	515	+	PFKFB3	ENSG00000170525	134	134	134	14	0.0359610590340749
121878	10	6221528	6221640	113	+	PFKFB3	ENSG00000170525	115	112	115	0	0
121879	10	6221746	6222854	1109	+	PFKFB3	ENSG00000170525	131	134	134	13	0.0172458468576112
121880	10	6222985	6223957	973	+	PFKFB3	ENSG00000170525	213	213	213	5	0.0074110391386303
121881	10	6224021	6224148	128	+	PFKFB3	ENSG00000170525	181	181	181	1	0.0105400557391336
121882	10	6224214	6224505	292	+	PFKFB3	ENSG00000170525	176	3	176	1	0.00532808854513875
121883	10	6224624	6225160	537	+	PFKFB3	ENSG00000170525	0	0	0	1	0.00289317834377804
121884	10	6225249	6226191	943	+	PFKFB3	ENSG00000170525	0	0	0	2	0.00330877802051806
121885	10	6226366	6228195	1830	+	PFKFB3	ENSG00000170525	71	2	71	28	0.0238231791845717
121886	10	6228219	6229108	890	+	PFKFB3	ENSG00000170525	0	0	0	13	0.0254251894458779
121887	10	6229181	6231262	2082	+	PFKFB3	ENSG00000170525	0	0	0	29	0.0243749675697701
121888	10	6231315	6232894	1580	+	PFKFB3	ENSG00000170525	0	0	0	25	0.0267670735659899
121889	10	6312250	6326545	14296	+	LINC02649	ENSG00000215244	0	0	0	20	0.116797563182278
121890	10	6326643	6327931	1289	+	LINC02649	ENSG00000215244	2	2	2	3	0.124292803308092
121891	10	6329811	6330952	1142	+	LINC02649	ENSG00000215244	0	0	0	8	0.510673339568028
121892	10	6331017	6331210	194	+	LINC02649	ENSG00000215244	2	2	2	1	0.176019495771783
121893	10	6331307	6331500	194	+	LINC02649	ENSG00000215244	4	3	4	3	0.297756006074662
121894	10	6331835	6335256	3422	+	LINC02649	ENSG00000215244	4	2	4	10	0.117042760413414
121895	10	6580928	6582137	1210	+	PRKCQ-AS1	ENSG00000237943	0	0	0	0	0
121896	10	6582202	6583675	1474	+	PRKCQ-AS1	ENSG00000237943	0	0	0	0	0
121897	10	6583919	6584117	199	+	PRKCQ-AS1	ENSG00000237943	1	1	1	0	0
121898	10	6584196	6585557	1362	+	PRKCQ-AS1	ENSG00000237943	0	0	0	1	0.256505576208179
121899	10	6585713	6585797	85	+	PRKCQ-AS1	ENSG00000237943	0	0	0	0	0
121900	10	6586881	6588265	1385	+	PRKCQ-AS1	ENSG00000237943	0	0	0	0	0
121901	10	6588397	6590949	2553	+	PRKCQ-AS1	ENSG00000237943	0	0	0	0	0
121902	10	6591135	6596845	5711	+	PRKCQ-AS1	ENSG00000237943	0	0	0	0	0
121903	10	6607416	6608347	932	+	PRKCQ-AS1	ENSG00000237943	0	0	0	0	0
121904	10	6608409	6613630	5222	+	PRKCQ-AS1	ENSG00000237943	0	0	0	0	0
121905	10	6613690	6613933	244	+	PRKCQ-AS1	ENSG00000237943	0	0	0	0	0
121906	10	6613988	6615369	1382	+	PRKCQ-AS1	ENSG00000237943	0	0	0	0	0
121907	10	6615638	6615762	125	+	PRKCQ-AS1	ENSG00000237943	0	0	0	0	0
121908	10	6615925	6616005	81	+	PRKCQ-AS1	ENSG00000237943	0	0	0	0	0
121909	10	6618777	6620917	2141	+	LINC02648	ENSG00000225948	0	0	0	0	0
121910	10	6621174	6621709	536	+	LINC02648	ENSG00000225948	0	0	0	0	0
121911	10	6621863	6625316	3454	+	LINC02648	ENSG00000225948	0	0	0	0	0
121912	10	6682576	6682884	309	+	AL158210.1	ENSG00000285743	0	0	0	0	0
121913	10	6683051	6709427	26377	+	AL158210.1	ENSG00000285743	0	0	0	0	0
